timestamp,time_took,temp,compass,acc_z,acc_y,acc_x
1602997746179,62,29,46,-932,472,36
1602997746249,70,29,41,-1000,308,32
1602997746348,99,29,44,-992,140,104
1602997746411,63,29,47,-1048,8,152
1602997746477,66,29,50,-924,-12,184
1602997746541,64,29,50,-1028,-56,156
1602997746609,68,29,55,-1068,28,136
1602997746699,90,29,57,-964,320,-4
1602997746772,73,29,47,-956,420,-16
1602997746834,62,29,48,-1012,524,-4
1602997746901,67,29,43,-820,680,-84
1602997746967,66,29,39,-852,744,-36
1602997747145,178,29,39,-704,816,-24
1602997747211,66,29,36,-616,816,-68
1602997747276,65,29,39,-644,856,-8
1602997747343,67,29,36,-596,824,-24
1602997747411,68,29,38,-800,824,-88
1602997747504,93,29,45,-828,548,-76
1602997747569,65,29,49,-696,596,-56
1602997747636,67,29,41,-988,372,-156
1602997747701,65,29,39,-1180,392,-240
1602997747772,71,29,63,-344,740,-124
1602997747864,92,29,39,-604,512,-456
1602997747940,76,29,35,-1084,408,-388
1602997748006,66,29,33,-1016,292,-308
1602997748070,64,29,33,-1788,52,-248
1602997748138,68,29,39,-916,424,-136
1602997748225,87,29,36,-680,348,-120
1602997748292,67,29,38,-1268,276,60
1602997748357,65,29,40,-368,248,-12
1602997748430,73,29,40,-796,332,192
1602997748497,67,29,64,-684,1652,1400
1602997748596,99,29,35,-952,284,116
1602997748662,66,29,38,-808,208,184
1602997748732,70,29,124,-896,316,180
1602997748795,63,29,47,-868,248,72
1602997748859,64,29,48,-964,320,100
1602997748956,97,29,48,-988,324,116
1602997749021,65,29,49,-988,324,120
1602997749087,66,29,48,-980,324,112
1602997749152,65,29,48,-984,332,116
1602997749219,67,29,48,-984,328,112
1602997749318,99,29,49,-980,320,112
1602997749386,68,29,49,-988,332,116
1602997749451,65,29,48,-988,332,108
1602997749517,66,29,49,-988,324,120
1602997749591,74,29,49,-988,332,116
1602997749694,103,29,48,-992,332,124
1602997749762,68,29,48,-984,324,116
1602997749826,64,29,48,-992,324,116
1602997749893,67,29,48,-980,324,116
1602997749959,66,29,48,-984,324,120
1602997750064,105,29,49,-988,320,112
1602997750125,61,29,49,-992,332,120
1602997750192,67,29,49,-984,328,120
1602997750258,66,29,49,-984,324,116
1602997750328,70,29,49,-984,328,112
1602997750443,115,29,49,-984,324,116
1602997750511,68,29,48,-988,332,112
1602997750574,63,29,48,-984,332,116
1602997750640,66,29,48,-988,328,112
1602997750711,71,29,48,-984,336,120
1602997750824,113,29,49,-992,324,116
1602997750894,70,29,49,-992,320,124
1602997750961,67,29,48,-980,344,112
1602997751033,72,29,49,-988,328,116
1602997751098,65,29,49,-984,332,112
1602997751209,111,29,49,-980,332,116
1602997751271,62,29,48,-988,328,112
1602997751343,72,29,48,-988,332,116
1602997751410,67,29,48,-976,328,120
1602997751479,69,29,48,-984,332,116
1602997751620,141,29,47,-984,336,112
1602997751686,66,29,48,-988,324,112
1602997751748,62,29,48,-988,316,116
1602997751814,66,29,48,-984,332,116
1602997751885,71,29,48,-984,332,104
1602997752065,180,29,48,-984,328,116
1602997752133,68,29,49,-988,320,112
1602997752199,66,29,49,-976,328,112
1602997752270,71,29,49,-984,332,112
1602997752337,67,29,48,-988,328,112
1602997752473,136,29,49,-988,328,124
1602997752539,66,29,49,-992,332,108
1602997752611,72,29,49,-984,328,112
1602997752677,66,29,48,-992,328,116
1602997752747,70,29,48,-984,328,116
1602997752857,110,29,48,-980,332,112
1602997752927,70,29,48,-988,328,124
1602997752993,66,29,49,-988,324,124
1602997753058,65,29,49,-984,328,120
1602997753125,67,29,49,-988,324,120
1602997753229,104,29,48,-984,324,120
1602997753297,68,29,48,-984,324,120
1602997753363,66,29,48,-988,324,120
1602997753433,70,29,48,-984,328,112
1602997753501,68,29,49,-992,328,124
1602997753612,111,29,48,-984,324,120
1602997753679,67,29,49,-992,328,112
1602997753751,72,29,48,-988,320,112
1602997753818,67,29,48,-980,320,116
1602997753888,70,29,48,-980,320,112
1602997754000,112,29,48,-992,324,116
1602997754071,71,29,49,-992,324,120
1602997754139,68,29,48,-980,324,124
1602997754206,67,29,48,-988,336,128
1602997754277,71,29,49,-984,328,120
1602997754390,113,29,48,-984,320,116
1602997754460,70,29,49,-988,332,120
1602997754526,66,29,48,-988,328,116
1602997754597,71,29,48,-984,332,116
1602997754664,67,29,48,-984,324,116
1602997754782,118,29,49,-988,328,116
1602997754848,66,29,49,-988,332,116
1602997754921,73,29,49,-980,320,112
1602997754985,64,29,49,-984,332,112
1602997755052,67,29,48,-988,324,108
